epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3890.95,1.09036,1.30292,0.01387,0.79843,0.72865,0.80926,0.60577,0.97968,0.8822,0.01673,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4009.51,1.09192,1.3094,0.01382,0.80227,0.73474,0.81463,0.61072,0.98196,0.87682,0.0167,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4127.97,1.09391,1.30904,0.01379,0.79935,0.7377,0.81615,0.61369,0.97877,0.86979,0.01662,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4246.46,1.07638,1.29026,0.01368,0.81126,0.74093,0.81806,0.6152,0.97885,0.86636,0.01659,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4364.99,1.07433,1.27916,0.01367,0.80847,0.73444,0.81737,0.61693,0.96691,0.8652,0.01628,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4483.21,1.07498,1.2758,0.01355,0.80358,0.74351,0.81838,0.61894,0.96858,0.85662,0.0164,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4601.43,1.0719,1.25469,0.01366,0.79862,0.75692,0.82078,0.62233,0.96367,0.85432,0.01628,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4720,1.07366,1.25275,0.01357,0.79863,0.75043,0.8237,0.62499,0.96121,0.84857,0.01617,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4838.67,1.06439,1.24368,0.01336,0.81428,0.74209,0.82595,0.62622,0.95806,0.8433,0.01612,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4957.02,1.06544,1.23155,0.0135,0.80573,0.74826,0.82439,0.62654,0.95672,0.84065,0.01613,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,5075.28,1.05946,1.22622,0.01347,0.81054,0.75626,0.82763,0.63158,0.95554,0.83218,0.01607,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,5193.79,1.05309,1.21886,0.01334,0.8129,0.75318,0.82805,0.63266,0.95133,0.83548,0.01597,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,5312.4,1.05465,1.21125,0.01333,0.82364,0.74509,0.83152,0.63523,0.95008,0.8302,0.01597,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,5430.85,1.05062,1.20769,0.01331,0.82314,0.74921,0.83135,0.6369,0.94296,0.83461,0.0158,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,5549.23,1.04543,1.18791,0.01314,0.82081,0.75118,0.83279,0.63755,0.94658,0.82408,0.01587,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,5667.94,1.04683,1.18958,0.01313,0.82201,0.75445,0.83439,0.63925,0.94579,0.8187,0.01581,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,5786.29,1.03817,1.18397,0.01294,0.81921,0.75896,0.83532,0.63982,0.94365,0.81626,0.01577,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5904.8,1.03429,1.17393,0.01298,0.82834,0.7561,0.83739,0.64216,0.93931,0.8142,0.01572,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,6023.05,1.03118,1.17246,0.01296,0.81018,0.766,0.83637,0.64189,0.93836,0.81177,0.01569,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,6141.56,1.03505,1.15876,0.01293,0.81468,0.76264,0.83671,0.64179,0.93599,0.81142,0.01561,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,6260.07,1.02059,1.14569,0.0127,0.80667,0.77064,0.83835,0.64284,0.93427,0.81127,0.01555,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,6378.6,1.02623,1.15295,0.01288,0.8329,0.75031,0.83922,0.64408,0.93223,0.81368,0.01549,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,6496.69,1.01904,1.13726,0.01272,0.82879,0.75276,0.83931,0.64466,0.92932,0.81291,0.01541,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,6615.22,1.01109,1.12258,0.01258,0.81545,0.76607,0.83881,0.64541,0.92937,0.81105,0.0154,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,6733.56,1.01077,1.12596,0.01262,0.82568,0.75909,0.83896,0.64596,0.9273,0.81097,0.01534,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6852.03,1.01342,1.11514,0.01269,0.82206,0.76482,0.83905,0.64647,0.92471,0.81403,0.01528,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6970.32,1.00679,1.10054,0.01248,0.82519,0.75761,0.83898,0.64691,0.92478,0.81013,0.01529,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,7088.75,0.99981,1.0993,0.01237,0.82986,0.75484,0.83948,0.64769,0.92444,0.80665,0.01528,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,7207.22,1.00236,1.09457,0.01236,0.82666,0.759,0.84058,0.64913,0.92474,0.80566,0.01528,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
